Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,game_id
1.0,Fri,2017-08-04,20:45,Monaco,Toulouse,2.0,0.3,3–2,13572.0,Clément Turpin,2017-2018,0
1.0,Sat,2017-08-05,17:15,Paris S-G,Amiens,2.6,0.3,2–0,46898.0,Mikael Lesage,2017-2018,1
1.0,Sat,2017-08-05,20:00,Lyon,Strasbourg,1.8,0.5,4–0,1979.0,Ruddy Buquet,2017-2018,2
1.0,Sat,2017-08-05,20:00,Saint-Étienne,Nice,0.9,0.5,1–0,25879.0,François Letexier,2017-2018,3
1.0,Sat,2017-08-05,20:00,Metz,Guingamp,0.6,1.9,1–3,14595.0,Jérôme Miguelgorry,2017-2018,4
1.0,Sat,2017-08-05,20:00,Montpellier,Caen,1.4,0.4,1–0,14725.0,Thomas Léonard,2017-2018,5
1.0,Sat,2017-08-05,20:00,Troyes,Rennes,1.9,2.2,1–1,9968.0,Karim Abed,2017-2018,6
1.0,Sun,2017-08-06,15:00,Lille,Nantes,1.9,1.3,3–0,30683.0,Benoît Millot,2017-2018,7
1.0,Sun,2017-08-06,17:00,Angers,Bordeaux,1.2,1.7,2–2,11767.0,Sébastien Desiage,2017-2018,8
1.0,Sun,2017-08-06,21:00,Marseille,Dijon,2.1,0.6,3–0,50904.0,Benoît Bastien,2017-2018,9
2.0,Fri,2017-08-11,19:00,Nice,Troyes,2.3,0.5,1–2,24260.0,Olivier Thual,2017-2018,11
2.0,Fri,2017-08-11,20:45,Rennes,Lyon,1.0,1.4,1–2,24944.0,Nicolas Rainville,2017-2018,12
2.0,Sat,2017-08-12,17:00,Nantes,Marseille,1.3,1.6,0–1,33654.0,Ruddy Buquet,2017-2018,13
2.0,Sat,2017-08-12,20:00,Caen,Saint-Étienne,0.9,1.1,0–1,17606.0,Stéphane Jochem,2017-2018,14
2.0,Sat,2017-08-12,20:00,Toulouse,Montpellier,1.5,0.7,1–0,11876.0,Ruddy Buquet,2017-2018,15
2.0,Sat,2017-08-12,20:00,Bordeaux,Metz,2.0,0.3,2–0,22095.0,Mikael Lesage,2017-2018,16
2.0,Sat,2017-08-12,20:00,Amiens,Angers,0.9,1.4,0–2,7772.0,Hakim Ben El Hadj Salem,2017-2018,17
2.0,Sun,2017-08-13,15:00,Strasbourg,Lille,3.1,0.9,3–0,25591.0,Johan Hamel,2017-2018,18
2.0,Sun,2017-08-13,17:00,Dijon,Monaco,1.1,1.6,1–4,14295.0,Tony Chapron,2017-2018,19
2.0,Sun,2017-08-13,21:00,Guingamp,Paris S-G,0.1,2.0,0–3,18378.0,Antony Gautier,2017-2018,20
3.0,Fri,2017-08-18,20:45,Metz,Monaco,0.8,2.2,0–1,18136.0,François Letexier,2017-2018,22
3.0,Sat,2017-08-19,17:00,Lyon,Bordeaux,0.7,0.9,3–3,42073.0,Clément Turpin,2017-2018,23
3.0,Sat,2017-08-19,20:00,Montpellier,Strasbourg,1.8,0.6,1–1,12585.0,Hakim Ben El Hadj Salem,2017-2018,24
3.0,Sat,2017-08-19,20:00,Troyes,Nantes,0.8,0.9,0–1,11035.0,Sébastien Desiage,2017-2018,25
3.0,Sat,2017-08-19,20:00,Nice,Guingamp,1.0,0.5,2–0,21070.0,Benoît Millot,2017-2018,26
3.0,Sat,2017-08-19,20:00,Saint-Étienne,Amiens,2.9,1.2,3–0,30004.0,Jérôme Brisard,2017-2018,27
3.0,Sat,2017-08-19,20:00,Rennes,Dijon,1.2,1.4,2–2,16888.0,Thomas Léonard,2017-2018,28
3.0,Sun,2017-08-20,15:00,Lille,Caen,0.7,1.8,0–2,28740.0,Karim Abed,2017-2018,29
3.0,Sun,2017-08-20,17:00,Marseille,Angers,1.3,0.6,1–1,51966.0,Jérôme Miguelgorry,2017-2018,30
3.0,Sun,2017-08-20,21:00,Paris S-G,Toulouse,2.6,0.5,6–2,47221.0,Amaury Delerue,2017-2018,31
4.0,Fri,2017-08-25,20:45,Paris S-G,Saint-Étienne,2.2,0.7,3–0,46957.0,Clément Turpin,2017-2018,33
4.0,Sat,2017-08-26,17:15,Nantes,Lyon,0.3,1.1,0–0,30718.0,Antony Gautier,2017-2018,34
4.0,Sat,2017-08-26,20:00,Toulouse,Rennes,2.2,1.3,3–2,10651.0,Franck Schneider,2017-2018,35
4.0,Sat,2017-08-26,20:00,Bordeaux,Troyes,2.5,0.7,2–1,19002.0,Tony Chapron,2017-2018,36
4.0,Sat,2017-08-26,20:00,Amiens,Nice,1.3,0.4,3–0,7922.0,Johan Hamel,2017-2018,37
4.0,Sat,2017-08-26,20:00,Dijon,Montpellier,1.3,1.5,2–1,10902.0,Stéphane Jochem,2017-2018,38
4.0,Sat,2017-08-26,20:00,Caen,Metz,1.3,0.8,1–0,15697.0,Jérôme Brisard,2017-2018,39
4.0,Sun,2017-08-27,15:00,Guingamp,Strasbourg,1.8,0.8,2–0,13061.0,Mikael Lesage,2017-2018,40
4.0,Sun,2017-08-27,17:00,Angers,Lille,0.8,0.8,1–1,10284.0,Nicolas Rainville,2017-2018,41
4.0,Sun,2017-08-27,21:00,Monaco,Marseille,3.8,1.5,6–1,16353.0,Ruddy Buquet,2017-2018,42
5.0,Fri,2017-09-08,19:00,Lille,Bordeaux,0.4,1.0,0–0,27464.0,François Letexier,2017-2018,44
5.0,Fri,2017-09-08,20:45,Metz,Paris S-G,1.2,4.8,1–5,25015.0,Sébastien Desiage,2017-2018,45
5.0,Sat,2017-09-09,17:00,Nice,Monaco,2.7,0.9,4–0,28995.0,Clément Turpin,2017-2018,46
5.0,Sat,2017-09-09,20:00,Strasbourg,Amiens,0.5,0.4,0–1,23424.0,Jérôme Brisard,2017-2018,47
5.0,Sat,2017-09-09,20:00,Caen,Dijon,1.5,0.6,2–1,15328.0,Thomas Léonard,2017-2018,48
5.0,Sat,2017-09-09,20:00,Troyes,Toulouse,0.6,0.3,0–0,1060.0,Hakim Ben El Hadj Salem,2017-2018,49
5.0,Sat,2017-09-09,20:00,Montpellier,Nantes,0.5,0.7,0–1,10298.0,Jérôme Miguelgorry,2017-2018,50
5.0,Sun,2017-09-10,15:00,Saint-Étienne,Angers,0.7,2.4,1–1,29740.0,Karim Abed,2017-2018,51
5.0,Sun,2017-09-10,17:00,Lyon,Guingamp,0.8,1.0,2–1,36697.0,Benoît Millot,2017-2018,52
5.0,Sun,2017-09-10,21:00,Marseille,Rennes,1.5,2.1,1–3,40343.0,Amaury Delerue,2017-2018,53
6.0,Fri,2017-09-15,20:45,Toulouse,Bordeaux,1.2,0.8,0–1,13616.0,Clément Turpin,2017-2018,55
6.0,Sat,2017-09-16,17:00,Monaco,Strasbourg,2.5,0.9,3–0,8310.0,Johan Hamel,2017-2018,56
6.0,Sat,2017-09-16,20:00,Guingamp,Lille,1.6,0.5,1–0,11901.0,Jérôme Brisard,2017-2018,57
6.0,Sat,2017-09-16,20:00,Troyes,Montpellier,0.7,1.1,0–1,11970.0,Amaury Delerue,2017-2018,58
6.0,Sat,2017-09-16,20:00,Nantes,Caen,0.4,0.3,1–0,20245.0,Olivier Thual,2017-2018,59
6.0,Sat,2017-09-16,20:00,Dijon,Saint-Étienne,1.9,1.4,0–1,13820.0,Benoît Bastien,2017-2018,60
6.0,Sun,2017-09-17,15:00,Amiens,Marseille,0.5,1.5,0–2,11698.0,Mikael Lesage,2017-2018,61
6.0,Sun,2017-09-17,17:00,Angers,Metz,2.2,1.9,0–1,9163.0,Stéphane Jochem,2017-2018,62
6.0,Sun,2017-09-17,17:00,Rennes,Nice,1.0,0.7,0–1,24892.0,Nicolas Rainville,2017-2018,63
6.0,Sun,2017-09-17,21:00,Paris S-G,Lyon,2.0,0.8,2–0,47191.0,Ruddy Buquet,2017-2018,64
7.0,Fri,2017-09-22,19:00,Nice,Angers,2.1,1.5,2–2,18023.0,François Letexier,2017-2018,66
7.0,Fri,2017-09-22,20:45,Lille,Monaco,1.2,2.7,0–4,34146.0,Franck Schneider,2017-2018,67
7.0,Sat,2017-09-23,17:00,Montpellier,Paris S-G,0.2,0.8,0–0,20975.0,Clément Turpin,2017-2018,68
7.0,Sat,2017-09-23,20:00,Lyon,Dijon,3.5,1.5,3–3,33600.0,Antony Gautier,2017-2018,69
7.0,Sat,2017-09-23,20:00,Bordeaux,Guingamp,2.7,1.4,3–1,20603.0,Benoît Bastien,2017-2018,70
7.0,Sat,2017-09-23,20:00,Caen,Amiens,1.8,0.0,1–0,16212.0,Hakim Ben El Hadj Salem,2017-2018,71
7.0,Sat,2017-09-23,20:00,Metz,Troyes,1.1,0.6,0–1,15491.0,Karim Abed,2017-2018,72
7.0,Sun,2017-09-24,15:00,Saint-Étienne,Rennes,1.8,1.4,2–2,31043.0,Jérôme Miguelgorry,2017-2018,73
7.0,Sun,2017-09-24,17:00,Strasbourg,Nantes,1.5,0.5,1–2,23408.0,Sébastien Desiage,2017-2018,74
7.0,Sun,2017-09-24,21:00,Marseille,Toulouse,2.7,0.7,2–0,39501.0,Benoît Millot,2017-2018,75
8.0,Fri,2017-09-29,20:45,Monaco,Montpellier,0.9,1.1,1–1,7053.0,Tony Chapron,2017-2018,77
8.0,Sat,2017-09-30,17:00,Paris S-G,Bordeaux,2.0,2.1,6–2,47537.0,François Letexier,2017-2018,78
8.0,Sat,2017-09-30,20:00,Guingamp,Toulouse,1.0,0.7,1–1,13196.0,Ruddy Buquet,2017-2018,79
8.0,Sat,2017-09-30,20:00,Nantes,Metz,1.9,1.4,1–0,22104.0,Johan Hamel,2017-2018,80
8.0,Sat,2017-09-30,20:00,Rennes,Caen,0.6,1.5,0–1,18689.0,Amaury Delerue,2017-2018,81
8.0,Sat,2017-09-30,20:00,Dijon,Strasbourg,1.6,0.8,1–1,11577.0,Olivier Thual,2017-2018,82
