,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Kevin Volland,Willi Orban,(3-4-3),(4-4-2),64%,36%,634 of 768 — 83%,70% — 303 of 433,8 of 11 — 73%,45% — 5 of 11,4 of 5 — 80%,87% — 7 of 8,2.0,0,2.0,0,12,13,4,0,18,8,899,571,19,30,14,9,14,15,6,23,5,7,7,4,21,22,63,52
0,Christian Günter,Marco Reus,(3-4-3),(4-2-3-1),35%,65%,321 of 432 — 74%,84% — 691 of 818,1 of 6 — 17%,50% — 4 of 8,2 of 4 — 50%,0% — 0 of 1,0.0,0,3.0,0,10,8,3,11,14,17,532,901,14,13,9,6,16,13,17,13,1,2,4,8,19,31,81,69
0,Manuel Neuer,Benjamin Hübner,(4-2-3-1),(4-1-4-1),64%,36%,641 of 752 — 85%,74% — 313 of 425,4 of 20 — 20%,63% — 5 of 8,3 of 5 — 60%,75% — 3 of 4,2.0,0,0.0,0,9,12,9,3,29,9,850,537,14,21,15,4,18,18,9,31,2,1,1,24,24,16,92,72
0,Klaus Gjasula,Daniel Brosinski,(4-2-3-1),(4-4-2),65%,35%,520 of 630 — 83%,71% — 244 of 346,6 of 15 — 40%,40% — 6 of 15,5 of 6 — 83%,83% — 5 of 6,1.0,0,4.0,0,9,19,7,10,19,20,752,492,14,22,8,12,18,15,22,29,2,2,10,10,28,17,82,68
0,Alexander Nübel,Jonas Hector,(4-1-2-1-2),(4-2-3-1),55%,45%,347 of 474 — 73%,70% — 270 of 387,3 of 15 — 20%,56% — 5 of 9,4 of 5 — 80%,66% — 2 of 3,4.0,0,4.0,0,17,17,6,4,19,12,589,505,16,12,12,12,22,27,11,24,2,3,3,17,28,19,71,73
0,Yann Sommer,Rani Khedira,(4-2-3-1),(4-4-2),63%,37%,528 of 616 — 86%,75% — 277 of 367,8 of 12 — 67%,21% — 3 of 14,2 of 3 — 66%,37% — 3 of 8,1.0,0,2.0,0,9,9,2,7,11,13,717,489,14,17,14,15,8,4,11,17,4,1,4,7,26,17,59,47
0,Josuha Guilavogui,Christopher Trimmel,(3-4-3),(3-4-3),52%,48%,333 of 474 — 70%,66% — 288 of 439,4 of 13 — 31%,21% — 3 of 14,3 of 3 — 100%,75% — 3 of 4,2.0,0,2.0,0,18,15,5,4,22,18,589,555,7,22,7,12,20,37,22,19,3,1,15,10,30,26,96,99
0,Makoto Hasebe,Davy Klaassen,(3-1-4-2),(4-3-3),63%,37%,427 of 570 — 75%,70% — 236 of 336,7 of 25 — 28%,40% — 4 of 10,3 of 4 — 75%,71% — 5 of 7,2.0,0,1.0,0,12,8,10,1,50,5,672,493,13,19,6,11,17,15,6,50,3,2,4,19,38,15,86,69
0,Makoto Hasebe,Kevin Volland,(3-1-4-2),(3-4-3),35%,65%,208 of 350 — 59%,82% — 523 of 639,4 of 9 — 44%,53% — 10 of 19,10 of 10 — 100%,50% — 2 of 4,1.0,0,1.0,0,11,12,4,1,11,20,466,763,18,16,9,13,13,22,10,14,4,1,12,6,19,19,76,54
0,Rani Khedira,Manuel Neuer,(4-1-4-1),(4-2-3-1),23%,77%,148 of 238 — 62%,89% — 726 of 813,7 of 9 — 78%,33% — 8 of 24,6 of 8 — 75%,71% — 5 of 7,3.0,0,3.0,0,11,7,3,7,7,19,335,902,11,11,12,3,6,16,30,11,3,0,13,1,17,20,61,79
0,Adam Bodzek,Daniel Brosinski,(5-4-1),(4-2-2-2),55%,45%,417 of 524 — 80%,77% — 333 of 431,4 of 20 — 20%,14% — 1 of 7,1 of 1 — 100%,75% — 3 of 4,2.0,0,5.5,0,11,18,8,1,38,5,628,525,15,16,9,7,23,15,12,26,0,3,4,14,24,29,85,62
0,Davy Klaassen,Vedad Ibišević,(4-3-3),(4-2-3-1),54%,46%,487 of 601 — 81%,81% — 421 of 521,5 of 16 — 31%,17% — 2 of 12,1 of 2 — 50%,80% — 4 of 5,1.0,0,1.0,0,9,12,7,5,24,17,697,653,12,14,8,17,8,27,16,36,0,1,8,6,26,15,63,80
0,Christopher Trimmel,Christian Günter,(3-4-3),(3-4-3),40%,60%,289 of 399 — 72%,79% — 472 of 601,5 of 16 — 31%,33% — 4 of 12,4 of 4 — 100%,60% — 3 of 5,3.0,0,0.0,0,21,13,3,4,22,16,501,694,8,14,19,7,27,36,13,26,1,1,5,8,26,21,89,69
0,Willi Orban,Josuha Guilavogui,(4-4-2),(3-4-3),56%,44%,421 of 571 — 74%,70% — 310 of 445,5 of 15 — 33%,46% — 6 of 13,5 of 6 — 83%,80% — 4 of 5,1.0,0,3.0,0,13,11,3,3,20,13,691,579,24,13,10,22,19,20,16,23,3,2,9,6,26,32,69,102
0,Marco Reus,Yann Sommer,(4-4-2),(4-2-3-1),54%,46%,414 of 527 — 79%,75% — 338 of 451,7 of 16 — 44%,14% — 2 of 14,2 of 2 — 100%,85% — 6 of 7,1.0,0,2.0,0,13,16,10,8,14,15,665,573,24,20,18,11,16,14,18,8,4,1,9,7,21,28,79,70
0,Jonas Hector,Klaus Gjasula,(4-2-3-1),(4-2-2-2),43%,57%,329 of 439 — 75%,83% — 494 of 593,6 of 17 — 35%,11% — 1 of 9,1 of 1 — 100%,50% — 3 of 6,0.0,0,0.0,0,7,8,6,9,20,22,578,722,33,20,8,9,20,15,28,23,1,1,8,7,26,25,64,41
0,Kevin Vogt,Alexander Nübel,(4-1-4-1),(4-1-3-2),42%,58%,280 of 385 — 73%,80% — 429 of 537,3 of 9 — 33%,9% — 1 of 11,1 of 1 — 100%,33% — 1 of 3,2.0,0,2.0,0,12,16,3,8,14,23,501,636,24,21,9,10,14,18,21,6,1,3,14,6,16,31,60,80
0,Daniel Brosinski,Jonas Hector,(4-4-2),(4-2-3-1),47%,53%,305 of 406 — 75%,74% — 335 of 451,6 of 18 — 33%,47% — 8 of 17,7 of 8 — 87%,50% — 3 of 6,2.0,0,2.0,0,20,9,5,10,14,21,536,556,12,13,13,9,18,26,27,16,1,1,11,13,16,20,65,69
0,Vedad Ibišević,Kevin Vogt,(4-2-3-1),(3-1-4-2),43%,57%,317 of 422 — 75%,80% — 443 of 551,4 of 13 — 31%,47% — 8 of 17,5 of 8 — 62%,50% — 2 of 4,4.5,0,3.0,0,17,11,4,4,21,11,533,661,21,20,13,8,18,20,10,18,3,2,8,5,22,22,85,72
0,Manuel Neuer,Christopher Trimmel,(4-1-4-1),(4-2-3-1),65%,35%,618 of 721 — 86%,75% — 291 of 390,10 of 20 — 50%,50% — 2 of 4,2 of 2 — 100%,80% — 8 of 10,0.0,0,1.0,0,10,16,8,2,23,11,816,512,16,21,6,10,19,22,14,21,2,4,4,11,22,26,66,73
0,Christian Günter,Willi Orban,(3-4-3),(3-5-2),41%,59%,332 of 434 — 76%,86% — 543 of 635,3 of 14 — 21%,25% — 6 of 24,5 of 6 — 83%,33% — 1 of 3,3.0,0,1.0,0,9,9,5,4,20,15,553,777,17,22,12,6,14,20,27,20,3,1,8,9,28,22,77,62
0,Alexander Nübel,Marco Reus,(4-1-3-2),(4-2-3-1),44%,56%,294 of 404 — 73%,78% — 407 of 521,2 of 14 — 14%,38% — 3 of 8,3 of 3 — 100%,100% — 2 of 2,3.0,0,2.0,0,9,9,8,2,19,10,521,629,15,22,11,5,13,16,16,23,5,1,7,11,22,17,69,75
0,Klaus Gjasula,Adam Bodzek,(4-2-3-1),(5-4-1),49%,51%,294 of 414 — 71%,73% — 314 of 430,6 of 14 — 43%,22% — 4 of 18,4 of 4 — 100%,66% — 4 of 6,5.0,0,4.0,0,23,16,4,7,16,21,543,548,12,12,11,11,15,18,29,16,2,1,8,11,25,21,79,81
