Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season
19.0,Wed,2021-01-20,21:00,Betis,Celta Vigo,0.8,1.1,2–1,,Juan Martínez,2020-2021
19.0,Wed,2021-01-20,21:30,Villarreal,Granada,2.4,0.2,2–2,,Valentín Pizarro,2020-2021
19.0,Thu,2021-01-21,19:00,Valencia,Osasuna,0.5,1.6,1–1,,Alejandro Hernández,2020-2021
19.0,Thu,2021-01-21,21:30,Eibar,Atlético Madrid,1.5,1.2,1–2,,Mario Melero,2020-2021
20.0,Fri,2021-01-22,21:00,Levante,Valladolid,1.0,0.6,2–2,,José Luis Munuera,2020-2021
20.0,Sat,2021-01-23,14:00,Huesca,Villarreal,0.2,0.5,0–0,,Hsu Jason,2020-2021
20.0,Sat,2021-01-23,16:15,Sevilla,Cádiz,2.3,0.7,3–0,,Guillermo Cuadra,2020-2021
20.0,Sat,2021-01-23,18:30,Real Sociedad,Betis,2.2,0.6,2–2,,César Soto,2020-2021
20.0,Sat,2021-01-23,21:00,Alavés,Real Madrid,0.7,1.4,1–4,,Alejandro Hernández,2020-2021
20.0,Sun,2021-01-24,14:00,Osasuna,Granada,1.7,0.7,3–1,,Daniel Ask,2020-2021
20.0,Sun,2021-01-24,16:15,Elche,Barcelona,0.5,2.6,0–2,,Valentín Pizarro,2020-2021
20.0,Sun,2021-01-24,18:30,Celta Vigo,Eibar,1.6,0.9,1–1,,Pablo González,2020-2021
20.0,Sun,2021-01-24,21:00,Atlético Madrid,Valencia,1.8,0.3,3–1,,Ricardo de Burgos,2020-2021
20.0,Mon,2021-01-25,21:00,Athletic Club,Getafe,2.0,1.3,5–1,,Adrián Cordero,2020-2021
21.0,Fri,2021-01-29,21:00,Valladolid,Huesca,1.8,1.2,1–3,,Ricardo de Burgos,2020-2021
21.0,Sat,2021-01-30,14:00,Eibar,Sevilla,0.9,1.5,0–2,,José Sánchez,2020-2021
21.0,Sat,2021-01-30,16:15,Real Madrid,Levante,1.3,1.8,1–2,,David Medié,2020-2021
21.0,Sat,2021-01-30,18:30,Valencia,Elche,2.8,0.4,1–0,,Pablo González,2020-2021
21.0,Sat,2021-01-30,21:00,Villarreal,Real Sociedad,0.2,1.3,1–1,,Isidro Díaz de Mera,2020-2021
21.0,Sun,2021-01-31,14:00,Getafe,Alavés,0.4,0.2,0–0,,Santiago Jaime,2020-2021
