Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
36.0,Sun,2023-05-21,15:00,Brest,Clermont Foot,1.3,0.5,2–1,13751.0,Bastien Dechepy,2022-2023,Brendan Chardonnet,Yohann Magnin,(4-2-3-1),(3-4-3),41%,59%,269 of 371 — 73%,80% — 428 of 536,3 of 10 — 30%,13% — 1 of 8,0 of 1 — 0%,33% — 1 of 3,3.0,0.0,4.0,0.0,16,11,7,1,15,17,470,617,17,13,10,7,20,20,16,12,2,0,10,13,21,24,66,72
36.0,Sun,2023-05-21,15:00,Troyes,Strasbourg,0.6,1.6,1–1,9834.0,Clément Turpin,2022-2023,Adil Rami,Alexander Djiku,(3-4-3),(3-4-3),45%,55%,336 of 408 — 82%,82% — 405 of 491,3 of 8 — 38%,31% — 5 of 16,4 of 5 — 80%,66% — 2 of 3,1.0,1.0,1.0,1.0,9,17,4,6,8,17,500,575,9,17,7,7,10,14,17,10,4,1,9,2,12,13,57,58
36.0,Sun,2023-05-21,17:05,Lorient,Lens,1.3,1.9,1–3,16724.0,Stéphanie Frappart,2022-2023,Laurent Abergel,Seko Fofana,(3-4-3),(3-4-3),47%,53%,421 of 488 — 86%,87% — 475 of 548,5 of 13 — 38%,47% — 7 of 15,4 of 7 — 57%,80% — 4 of 5,2.0,0.0,2.0,0.0,14,13,3,5,10,19,588,634,12,13,9,4,6,8,20,14,0,0,6,3,13,15,46,46
36.0,Sun,2023-05-21,20:45,Auxerre,Paris S-G,0.9,2.1,1–2,16682.0,Benoît Bastien,2022-2023,Birama Touré,Marquinhos,(5-4-1),(3-4-3),37%,63%,387 of 455 — 85%,91% — 715 of 789,7 of 14 — 50%,27% — 4 of 15,2 of 4 — 50%,85% — 6 of 7,1.0,0.0,0.0,0.0,11,6,4,6,23,11,555,883,17,14,8,4,7,3,19,25,0,5,6,4,10,15,39,48
37.0,Sat,2023-05-27,21:00,Lyon,Reims,2.6,1.1,3–0,56874.0,Jeremy Stinat,2022-2023,Alexandre Lacazette,Marshall Munetsi,(4-2-3-1),(3-5-2),54%,46%,427 of 505 — 85%,81% — 342 of 422,7 of 23 — 30%,10% — 1 of 10,1 of 1 — 100%,71% — 5 of 7,1.0,0.0,1.0,1.0,10,15,7,4,15,11,618,525,20,13,18,3,9,13,6,16,4,4,10,11,11,19,58,42
37.0,Sat,2023-05-27,21:00,Marseille,Brest,1.1,1.0,1–2,61732.0,Stéphanie Frappart,2022-2023,Valentin Rongier,Brendan Chardonnet,(3-4-3),(4-3-3),62%,38%,464 of 581 — 80%,70% — 248 of 355,4 of 10 — 40%,33% — 5 of 15,3 of 5 — 60%,75% — 3 of 4,2.0,0.0,2.0,0.0,14,16,3,5,22,14,678,464,17,14,5,10,15,13,15,20,1,0,10,7,17,22,63,69
37.0,Sat,2023-05-27,21:00,Clermont Foot,Lorient,1.4,1.1,2–0,13050.0,Florent Batta,2022-2023,Maxime Gonalons,Laurent Abergel,(3-4-3),(3-4-3),45%,55%,334 of 418 — 80%,84% — 429 of 508,7 of 18 — 39%,0% — 0 of 5,0 of 0 — %,71% — 5 of 7,0.0,0.0,0.0,0.0,13,12,9,1,16,9,530,622,22,12,13,5,12,10,10,18,1,1,8,8,11,24,50,38
37.0,Sat,2023-05-27,21:00,Angers,Troyes,1.2,0.3,2–1,7419.0,Karim Abed,2022-2023,Himad Abdelli,Xavier Chavalerin,(5-3-2),(3-4-3),60%,40%,430 of 532 — 81%,72% — 255 of 352,5 of 18 — 28%,60% — 3 of 5,2 of 3 — 66%,60% — 3 of 5,1.0,0.0,1.0,0.0,12,7,14,3,25,14,623,452,10,18,8,10,15,17,13,22,2,1,5,11,24,18,68,51
37.0,Sat,2023-05-27,21:00,Strasbourg,Paris S-G,1.2,1.0,1–1,25828.0,Jérôme Brisard,2022-2023,Matz Sels,Kylian Mbappé,(3-5-1-1),(3-5-2),34%,66%,350 of 394 — 89%,93% — 708 of 759,5 of 17 — 29%,29% — 2 of 7,1 of 2 — 50%,80% — 4 of 5,1.0,0.0,2.0,0.0,9,8,4,2,10,5,486,830,22,17,7,4,6,3,8,6,2,2,4,11,9,13,35,43
37.0,Sat,2023-05-27,21:00,Lens,Ajaccio,2.3,0.2,3–0,37601.0,Thomas Léonard,2022-2023,Seko Fofana,Vincent Marchetti,(3-4-3),(3-4-3),79%,21%,694 of 792 — 88%,63% — 136 of 215,2 of 11 — 18%,0% — 0 of 6,0 of 0 — %,0% — 0 of 2,1.0,0.0,2.0,0.0,12,12,9,2,39,5,864,310,7,11,8,6,14,4,9,40,2,1,4,11,11,12,49,55
37.0,Sat,2023-05-27,21:00,Toulouse,Auxerre,0.8,0.9,1–1,25172.0,Mathieu Vernice,2022-2023,Brecht Dejaegere,Birama Touré,(4-2-3-1),(5-4-1),60%,40%,440 of 536 — 82%,76% — 268 of 352,3 of 10 — 30%,13% — 2 of 16,1 of 2 — 50%,66% — 2 of 3,1.0,0.0,3.0,0.0,18,14,6,3,20,10,637,463,16,13,3,5,18,4,15,21,4,1,9,11,19,20,69,67
37.0,Sat,2023-05-27,21:00,Rennes,Monaco,1.3,0.5,2–0,28344.0,Clément Turpin,2022-2023,Hamari Traoré,Wissam Ben Yedder,(4-1-4-1),(4-4-1-1),57%,43%,438 of 532 — 82%,75% — 305 of 406,6 of 12 — 50%,27% — 3 of 11,3 of 3 — 100%,66% — 4 of 6,0.0,0.0,3.0,0.0,11,7,7,3,15,27,625,491,10,15,4,9,12,17,21,14,2,3,5,4,13,17,52,64
37.0,Sat,2023-05-27,21:00,Lille,Nantes,2.1,1.0,2–1,41136.0,Eric Wattellier,2022-2023,José Fonte,Samuel Moutoussamy,(4-2-3-1),(4-3-3),65%,35%,529 of 615 — 86%,71% — 231 of 327,0 of 7 — 0%,38% — 3 of 8,2 of 3 — 66%,% — 0 of 0,2.0,0.0,4.0,0.0,7,12,5,3,18,12,706,413,10,19,4,8,12,7,13,17,1,0,4,10,21,16,62,70
37.0,Sat,2023-05-27,21:00,Montpellier,Nice,2.3,3.4,2–3,16340.0,Benoît Millot,2022-2023,Téji Savanier,Dante,(4-2-3-1),(4-3-3),47%,53%,358 of 438 — 82%,80% — 387 of 486,7 of 13 — 54%,61% — 14 of 23,11 of 14 — 78%,85% — 6 of 7,0.0,0.0,3.0,0.0,12,16,2,10,14,24,571,620,16,35,9,9,9,18,24,11,1,1,9,6,19,12,74,54
38.0,Sat,2023-06-03,21:00,Lorient,Strasbourg,0.5,1.0,2–1,16351.0,Bastien Dechepy,2022-2023,Laurent Abergel,Matz Sels,(3-4-3),(3-4-3),53%,47%,549 of 623 — 88%,88% — 493 of 563,3 of 5 — 60%,47% — 7 of 15,6 of 7 — 85%,33% — 1 of 3,1.0,0.0,1.0,0.0,9,15,4,4,8,15,731,661,20,16,7,11,9,7,17,13,5,1,7,1,8,21,31,55
38.0,Sat,2023-06-03,21:00,Ajaccio,Marseille,0.1,1.4,1–0,9500.0,Benoît Bastien,2022-2023,Mathieu Coutadeur,Mattéo Guendouzi,(4-1-4-1),(3-4-3),29%,71%,163 of 255 — 64%,83% — 528 of 636,1 of 3 — 33%,18% — 3 of 17,3 of 3 — 100%,0% — 0 of 1,1.0,0.0,1.0,0.0,19,15,2,3,11,28,377,732,15,16,10,7,9,24,32,9,2,0,14,1,15,22,81,55
38.0,Sat,2023-06-03,21:00,Nice,Lyon,2.3,1.8,3–1,25243.0,Eric Wattellier,2022-2023,Dante,Alexandre Lacazette,(3-4-3),(4-2-3-1),43%,57%,409 of 504 — 81%,87% — 572 of 659,6 of 16 — 38%,44% — 7 of 16,6 of 7 — 85%,66% — 4 of 6,0.0,0.0,1.0,0.0,8,12,3,2,15,11,623,791,26,21,14,13,5,10,11,12,1,1,9,4,17,17,65,43
