Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
5.0,Wed,2019-09-25,21:00,Inter,Lazio,1.5,1.2,1–0,56175.0,Fabio Maresca,2019-2020,Samir Handanović,Marco Parolo,(3-4-1-2),(3-5-2),64%,36%,623 of 728 — 86%,79% — 318 of 405,3 of 15 — 20%,40% — 4 of 10,4 of 4 — 100%,66% — 2 of 3,2.0,0,3.0,0,10,8,4,6,20,12,834,538,16,17,15,16,21,12,9,29,1,1,4,9,27,19,76,57
5.0,Wed,2019-09-25,21:00,Napoli,Cagliari,2.0,0.5,0–1,25408.0,Marco Di Bello,2019-2020,Lorenzo Insigne,João Pedro,(3-4-3),(4-3-1-2),67%,33%,578 of 684 — 85%,73% — 249 of 339,5 of 30 — 17%,20% — 1 of 5,0 of 1 — 0%,100% — 5 of 5,1.0,1,1.0,0,9,13,13,1,37,7,789,482,14,17,10,5,23,12,7,43,3,3,5,14,28,21,56,67
5.0,Wed,2019-09-25,21:00,Genoa,Bologna,0.3,1.7,0–0,20497.0,Davide Massa,2019-2020,Domenico Criscito,Andrea Poli,(3-1-4-2),(4-1-4-1),42%,58%,239 of 347 — 69%,81% — 388 of 478,1 of 7 — 14%,6% — 1 of 17,1 of 1 — 100%,100% — 1 of 1,5.0,0,4.0,0,16,11,5,4,22,11,447,595,21,17,13,12,19,25,12,18,2,4,13,7,26,20,82,48
5.0,Wed,2019-09-25,21:00,Parma,Sassuolo,1.7,0.5,1–0,14569.0,Livio Marinelli,2019-2020,Bruno Alves,Francesco Magnanelli,(3-4-3),(4-3-3),32%,68%,213 of 312 — 68%,84% — 566 of 673,4 of 9 — 44%,25% — 3 of 12,3 of 3 — 100%,100% — 4 of 4,3.0,0,1.0,0,20,10,5,4,12,17,434,787,26,24,20,13,16,6,21,7,4,1,5,6,27,25,82,54
5.0,Thu,2019-09-26,21:00,Torino,Milan,1.2,2.8,2–1,23997.0,Marco Guida,2019-2020,Andrea Belotti,Alessio Romagnoli,(3-4-1-2),(4-3-1-2),45%,55%,296 of 398 — 74%,79% — 378 of 480,4 of 9 — 44%,20% — 3 of 15,3 of 3 — 100%,50% — 2 of 4,4.0,0,5.0,1,14,20,3,5,23,16,517,586,15,11,18,7,15,9,23,17,3,2,14,11,16,26,82,65
6.0,Sat,2019-09-28,15:00,Juventus,SPAL,2.0,0.2,2–0,38995.0,Marco Piccinini,2019-2020,Leonardo Bonucci,Francesco Vicari,(4-1-2-1-2),(3-5-2),67%,33%,624 of 726 — 86%,76% — 276 of 365,10 of 21 — 48%,20% — 1 of 5,1 of 1 — 100%,80% — 8 of 10,2.0,0,2.0,0,13,9,13,2,23,7,820,484,15,20,7,13,9,6,15,22,3,2,3,12,31,21,63,62
6.0,Sat,2019-09-28,18:00,Sampdoria,Inter,1.1,2.2,1–3,23694.0,Giampaolo Calvarese,2019-2020,Fabio Quagliarella,Samir Handanović,(3-5-2),(3-5-2),46%,54%,371 of 471 — 79%,82% — 460 of 563,2 of 20 — 10%,47% — 7 of 15,4 of 7 — 57%,50% — 1 of 2,2.0,0,5.5,0,12,12,7,5,32,15,581,668,14,19,14,8,11,14,18,22,2,7,5,18,20,18,61,61
6.0,Sat,2019-09-28,20:45,Sassuolo,Atalanta,0.5,2.3,1–4,11604.0,Paolo Valeri,2019-2020,Domenico Berardi,Papu Gómez,(4-3-3),(3-4-3),51%,49%,502 of 594 — 85%,81% — 463 of 570,7 of 13 — 54%,54% — 7 of 13,3 of 7 — 42%,85% — 6 of 7,2.0,0,2.0,0,14,14,7,3,8,13,705,672,13,18,11,13,5,11,12,17,2,0,5,3,19,14,39,58
6.0,Sun,2019-09-29,12:30,Napoli,Brescia,2.0,1.1,2–1,45770.0,Gianluca Manganiello,2019-2020,José Callejón,Dimitri Bisoli,(4-4-2),(4-3-1-2),55%,45%,483 of 565 — 85%,78% — 357 of 458,7 of 20 — 35%,19% — 3 of 16,2 of 3 — 66%,71% — 5 of 7,2.0,0,1.0,0,12,8,7,7,29,22,679,555,16,11,15,9,11,12,23,26,0,2,9,11,11,22,58,54
6.0,Sun,2019-09-29,15:00,Udinese,Bologna,0.7,1.3,1–0,21361.0,Antonio Giua,2019-2020,Samir Santos,Blerim Džemaili,(3-5-2),(4-2-3-1),39%,61%,227 of 327 — 69%,81% — 416 of 512,3 of 12 — 25%,25% — 3 of 12,3 of 3 — 100%,66% — 2 of 3,4.0,0,3.0,1,20,18,4,5,12,18,444,617,21,14,5,5,13,27,21,12,1,2,9,8,18,21,64,59
6.0,Sun,2019-09-29,15:00,Lazio,Genoa,1.4,0.9,4–0,26000.0,Luca Pairetto,2019-2020,Senad Lulić,Domenico Criscito,(3-5-1-1),(3-1-4-2),55%,45%,499 of 576 — 87%,83% — 397 of 478,10 of 15 — 67%,46% — 6 of 13,6 of 6 — 100%,60% — 6 of 10,1.0,0,2.0,0,8,11,5,7,10,22,675,567,17,12,12,8,7,12,19,12,1,0,9,3,14,18,56,63
6.0,Sun,2019-09-29,15:00,Lecce,Roma,0.7,2.1,0–1,26044.0,Rosario Abisso,2019-2020,Marco Mancosu,Alessandro Florenzi,(4-3-1-2),(4-2-3-1),41%,59%,316 of 399 — 79%,86% — 504 of 585,6 of 13 — 46%,24% — 4 of 17,3 of 4 — 75%,100% — 6 of 6,2.0,0,4.0,0,8,20,4,11,22,24,499,695,15,15,10,9,7,20,25,21,0,1,11,5,13,15,52,64
6.0,Sun,2019-09-29,18:00,Cagliari,Hellas Verona,1.8,1.6,1–1,15846.0,Manuel Volpi,2019-2020,Luca Ceppitelli,Miguel Veloso,(4-3-1-2),(3-4-3),44%,56%,275 of 372 — 74%,76% — 360 of 474,4 of 12 — 33%,31% — 4 of 13,3 of 4 — 75%,75% — 3 of 4,2.0,0,2.0,0,20,20,3,5,18,22,482,557,15,8,9,3,18,22,15,17,2,1,12,9,21,23,78,72
6.0,Sun,2019-09-29,20:45,Milan,Fiorentina,0.6,2.5,1–3,48367.0,Piero Giacomelli,2019-2020,Alessio Romagnoli,Germán Pezzella,(4-3-1-2),(3-5-2),55%,45%,531 of 624 — 85%,85% — 433 of 511,3 of 11 — 27%,36% — 5 of 14,3 of 5 — 60%,66% — 2 of 3,2.0,1,4.0,0,10,14,4,6,19,11,722,630,19,20,10,10,11,7,8,23,0,2,7,6,19,16,68,66
