,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Pedro Chirivella,Steve Mandanda,(5-3-2),(3-4-3),47%,53%,343 of 446 — 77%,83% — 425 of 512,2 of 14 — 14%,60% — 3 of 5,3 of 3 — 100%,50% — 1 of 2,1.0,0.0,1.0,1.0,15,9,5,5,28,12,547,643,12,15,6,5,17,13,23,57,1,1,4,10,27,18,62,62
0,Gautier Larsonneur,Leonardo Balerdi,(5-4-1),(3-4-3),32%,68%,350 of 421 — 83%,92% — 830 of 901,2 of 3 — 67%,45% — 9 of 20,7 of 9 — 77%,100% — 2 of 2,1.0,0.0,1.0,0.0,13,10,0,9,4,14,512,990,8,14,13,6,3,4,17,8,0,0,4,1,14,9,46,31
0,Vincent Sierro,Gautier Larsonneur,(3-4-3),(3-5-2),39%,61%,364 of 450 — 81%,85% — 589 of 693,4 of 11 — 36%,67% — 2 of 3,1 of 2 — 50%,50% — 2 of 4,3.0,0.0,4.0,0.0,16,15,2,3,17,10,558,788,17,18,12,5,16,15,13,27,0,0,1,6,20,12,39,44
0,Leonardo Balerdi,Benjamin André,(3-4-3),(4-2-3-1),56%,44%,538 of 608 — 88%,84% — 398 of 475,3 of 9 — 33%,50% — 5 of 10,4 of 5 — 80%,66% — 2 of 3,1.0,1.0,3.0,0.0,14,9,3,8,10,21,726,569,25,18,5,3,4,8,31,13,3,0,6,3,11,16,52,59
0,Jubal,Brice Samba,(3-4-3),(4-2-3-1),40%,60%,310 of 414 — 75%,85% — 539 of 634,3 of 10 — 30%,31% — 5 of 16,3 of 5 — 60%,33% — 1 of 3,3.0,0.0,1.0,0.0,10,10,3,5,21,17,541,775,25,24,19,11,14,13,27,26,0,5,7,5,21,17,77,56
0,Emmanuel Agbadou,Thilo Kehrer,(4-2-3-1),(3-4-3),36%,64%,256 of 370 — 69%,80% — 521 of 651,0 of 8 — 0%,21% — 3 of 14,3 of 3 — 100%,% — 0 of 0,1.0,0.0,3.0,0.0,15,22,1,4,17,16,513,762,26,20,19,10,18,18,24,16,1,6,9,8,11,24,74,61
0,Téji Savanier,Pablo Rosario,(4-2-3-1),(4-1-4-1),52%,48%,352 of 448 — 79%,84% — 347 of 412,8 of 21 — 38%,33% — 6 of 18,4 of 6 — 66%,75% — 6 of 8,1.0,0.0,2.0,0.0,15,13,9,4,32,19,573,573,25,25,2,9,14,14,22,41,1,0,6,6,23,13,82,39
0,Abdoulaye Touré,Habib Diarra,(3-3-3-1),(4-4-2),56%,44%,540 of 633 — 85%,85% — 420 of 492,1 of 10 — 10%,56% — 5 of 9,2 of 5 — 40%,100% — 1 of 1,0.0,0.0,1.0,0.0,11,7,3,2,44,11,713,604,9,10,13,9,13,5,10,40,3,3,5,12,17,12,48,46
0,Brendan Chardonnet,Pedro Chirivella,(4-3-1-2),(5-3-2),51%,49%,463 of 543 — 85%,81% — 420 of 521,8 of 13 — 62%,44% — 7 of 16,6 of 7 — 85%,50% — 4 of 8,3.0,0.0,3.0,0.0,10,14,0,5,16,32,668,608,17,13,2,4,10,15,37,14,2,0,4,9,14,31,69,86
0,Steve Mandanda,Himad Abdelli,(3-5-1-1),(4-2-3-1),44%,56%,379 of 461 — 82%,83% — 477 of 577,4 of 7 — 57%,0% — 0 of 3,0 of 0 — %,50% — 2 of 4,3.0,0.0,1.0,0.0,18,12,2,1,13,18,569,677,18,25,8,15,10,10,26,18,0,3,6,6,19,22,48,68
