,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Sergej Milinković-Savić,Lorenzo Pellegrini,(4-3-3),(3-4-3),69%,31%,654 of 725 — 90%,79% — 263 of 332,5 of 12 — 42%,38% — 3 of 8,3 of 3 — 100%,80% — 4 of 5,4.0,1.0,5.5,1.0,18,13,5,2,14,9,810,414,12,9,5,11,12,14,12,20,1,1,5,8,13,18,68,67
0,Marcelo Brozović,Danilo,(3-5-2),(3-5-1-1),69%,31%,582 of 686 — 85%,73% — 228 of 312,3 of 18 — 17%,43% — 3 of 7,2 of 3 — 66%,100% — 3 of 3,2.0,1.0,4.0,1.0,6,18,6,4,37,16,789,442,14,15,5,13,16,13,16,39,0,1,4,11,23,19,73,66
0,Daniel Ciofani,Rafael Tolói,(3-5-2),(3-4-3),42%,58%,336 of 450 — 75%,82% — 516 of 626,3 of 14 — 21%,33% — 4 of 12,1 of 4 — 25%,100% — 3 of 3,3.0,0.0,2.0,0.0,13,10,0,6,12,20,550,740,20,15,6,14,13,19,19,14,0,3,8,5,22,29,75,75
0,Marcelo Brozović,Giacomo Bonaventura,(3-5-2),(4-2-3-1),59%,41%,421 of 532 — 79%,74% — 275 of 373,3 of 16 — 19%,16% — 3 of 19,2 of 3 — 66%,100% — 3 of 3,2.0,0.0,3.0,0.0,8,7,10,8,34,17,644,502,20,11,9,6,22,17,15,36,4,0,10,11,22,19,82,81
0,Danilo,Miguel Veloso,(3-5-2),(3-4-1-2),56%,44%,423 of 520 — 81%,75% — 305 of 407,2 of 10 — 20%,30% — 3 of 10,3 of 3 — 100%,50% — 1 of 2,1.0,0.0,2.0,0.0,14,22,3,5,11,19,614,514,9,25,6,11,18,14,18,16,1,2,8,7,27,9,76,64
0,Jhon Lucumí,Roberto Pereyra,(4-3-3),(3-5-2),52%,48%,437 of 515 — 85%,83% — 399 of 483,4 of 11 — 36%,27% — 4 of 15,4 of 4 — 100%,25% — 1 of 4,1.0,0.0,2.0,0.0,17,10,2,7,12,13,625,593,28,16,8,7,10,12,14,8,2,1,9,9,14,26,54,60
0,Emmanuel Gyasi,Antonio Candreva,(4-3-3),(3-4-3),51%,49%,312 of 439 — 71%,67% — 288 of 428,4 of 15 — 27%,8% — 1 of 12,1 of 1 — 100%,75% — 3 of 4,0.0,0.0,1.0,0.0,12,12,9,5,23,18,583,554,16,20,5,9,17,19,33,29,0,2,9,9,28,36,63,79
0,Pablo Marí,Sergej Milinković-Savić,(3-4-3),(4-3-3),56%,44%,590 of 664 — 89%,86% — 443 of 518,3 of 11 — 27%,50% — 4 of 8,2 of 4 — 50%,100% — 3 of 3,5.0,0.0,2.0,0.0,13,8,8,3,18,9,738,598,7,13,6,7,6,4,8,14,1,1,8,8,14,15,55,57
0,Lorenzo Pellegrini,Manolo Gabbiadini,(4-2-3-1),(4-3-2-1),51%,49%,402 of 468 — 86%,84% — 376 of 449,9 of 27 — 33%,50% — 3 of 6,3 of 3 — 100%,77% — 7 of 9,3.0,0.0,6.5,0.0,11,13,10,3,21,15,561,531,10,14,9,2,15,8,16,18,2,1,5,11,20,10,54,59
0,Giovanni Di Lorenzo,Davide Calabria,(4-3-3),(4-2-3-1),60%,40%,530 of 620 — 85%,78% — 316 of 406,4 of 20 — 20%,57% — 8 of 14,4 of 8 — 50%,100% — 4 of 4,1.0,0.0,2.0,0.0,11,9,10,4,27,6,726,528,13,23,9,9,11,8,7,24,0,1,4,12,21,16,38,58
