,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Virgil van Dijk,Ivan Toney,(4-3-3),(5-3-2),54%,46%,330 of 424 — 78%,71% — 256 of 362,5 of 15 — 33%,20% — 1 of 5,1 of 1 — 100%,80% — 4 of 5,4.0,0,2.0,0,19,10,7,3,19,18,520,445,9,11,4,8,14,14,27,19,1,2,10,6,19,14,71,82
0,Kieran Trippier,Martin Ødegaard,(4-3-3),(4-3-3),55%,45%,350 of 449 — 78%,78% — 291 of 374,5 of 12 — 42%,60% — 6 of 10,5 of 6 — 83%,100% — 5 of 5,2.0,0,1.0,0,16,12,9,4,21,5,558,511,18,23,8,8,17,12,10,24,0,1,6,6,26,17,54,50
0,Declan Rice,Bruno Fernandes,(4-2-3-1),(4-2-3-1),35%,65%,279 of 379 — 74%,86% — 614 of 713,4 of 15 — 27%,21% — 4 of 19,4 of 4 — 100%,75% — 3 of 4,0.0,0,2.0,0,4,9,5,7,20,9,483,836,17,14,10,10,17,15,19,19,1,1,11,10,10,17,60,56
0,Tom Cairney,Youri Tielemans,(4-2-3-1),(4-2-3-1),57%,43%,442 of 550 — 80%,75% — 316 of 419,7 of 17 — 41%,44% — 7 of 16,5 of 7 — 71%,28% — 2 of 7,0.0,0,3.0,0,13,15,2,7,10,14,672,535,22,14,6,13,16,9,15,5,1,4,8,7,20,17,63,65
0,Lewis Dunk,Jordan Pickford,(4-2-3-1),(4-2-3-1),78%,22%,696 of 817 — 85%,64% — 149 of 234,5 of 23 — 22%,50% — 5 of 10,1 of 5 — 20%,80% — 4 of 5,1.0,0,5.0,0,11,13,15,1,44,6,916,398,11,19,6,16,16,19,6,56,1,1,2,12,24,6,53,59
0,Ryan Yates,James Ward-Prowse,(4-3-3),(4-2-3-1),36%,64%,226 of 333 — 68%,82% — 477 of 585,3 of 8 — 38%,22% — 4 of 18,2 of 4 — 50%,0% — 0 of 3,1.0,0,0.0,0,16,10,2,11,7,25,438,688,20,6,12,9,12,8,22,13,3,1,12,5,14,19,59,63
0,Luke Ayling,Kieran Trippier,(4-3-3),(4-3-3),36%,64%,178 of 281 — 63%,79% — 394 of 497,3 of 8 — 38%,19% — 3 of 16,3 of 3 — 100%,33% — 1 of 3,4.0,1,2.0,0,16,14,2,6,10,16,419,625,23,21,15,13,11,18,24,20,0,2,13,6,14,23,74,51
0,Thiago Silva,Joe Worrall,(4-3-3),(3-4-3),75%,25%,666 of 758 — 88%,59% — 147 of 249,6 of 14 — 43%,18% — 2 of 11,0 of 2 — 0%,66% — 4 of 6,3.0,0,1.0,0,13,15,2,5,17,11,866,369,14,28,3,17,16,12,16,26,1,2,7,5,27,18,53,68
0,Bruno Fernandes,Rúben Neves,(4-2-3-1),(4-4-2),48%,52%,382 of 476 — 80%,79% — 406 of 517,9 of 27 — 33%,0% — 0 of 5,0 of 0 — %,77% — 7 of 9,3.0,0,2.0,0,9,9,11,7,15,22,593,620,13,8,8,7,16,14,25,16,0,1,7,13,19,21,55,79
0,John McGinn,Harry Kane,(4-4-2),(3-4-3),48%,52%,368 of 444 — 83%,82% — 394 of 480,4 of 8 — 50%,25% — 1 of 4,1 of 1 — 100%,50% — 2 of 4,3.0,0,3.0,0,9,14,8,3,18,14,544,566,11,16,11,12,6,8,17,14,2,9,4,8,8,14,43,53
0,Wilfried Zaha,Neto,(4-2-3-1),(4-2-3-1),59%,41%,539 of 647 — 83%,81% — 356 of 441,5 of 17 — 29%,0% — 0 of 5,0 of 0 — %,60% — 3 of 5,0.0,0,2.0,0,5,12,11,2,24,5,742,566,22,20,9,11,11,15,9,31,2,1,3,12,16,18,60,55
0,James Ward-Prowse,Tom Cairney,(4-2-3-1),(4-2-3-1),36%,64%,294 of 384 — 77%,86% — 575 of 671,1 of 5 — 20%,33% — 3 of 9,1 of 3 — 33%,100% — 1 of 1,2.0,0,0.0,0,17,12,1,8,9,20,475,737,16,10,9,10,14,8,26,8,4,1,4,4,19,18,40,54
0,David Raya,Angelo Ogbonna,(4-3-3),(4-2-3-1),53%,47%,443 of 557 — 80%,76% — 376 of 492,9 of 24 — 38%,100% — 4 of 4,4 of 4 — 100%,77% — 7 of 9,1.0,0,0.0,0,5,5,7,5,22,18,667,598,20,11,5,8,18,19,17,26,3,3,4,12,21,18,75,57
0,Jordan Pickford,İlkay Gündoğan,(4-2-3-1),(4-2-3-1),37%,63%,343 of 417 — 82%,89% — 630 of 706,2 of 7 — 29%,44% — 4 of 9,1 of 4 — 25%,100% — 2 of 2,1.0,0,0.0,0,12,4,8,6,20,17,498,781,16,7,11,5,8,8,17,21,1,0,9,5,13,13,57,69
0,Martin Ødegaard,Lewis Dunk,(4-3-3),(4-2-3-1),41%,59%,292 of 387 — 75%,82% — 459 of 560,2 of 14 — 14%,50% — 6 of 12,3 of 6 — 50%,100% — 2 of 2,1.0,0,2.0,0,13,17,5,2,11,5,483,658,20,15,7,8,7,11,6,13,1,4,5,9,11,15,48,54
0,Jonny Evans,Jordan Henderson,(4-2-3-1),(4-3-3),34%,66%,258 of 373 — 69%,84% — 611 of 725,4 of 4 — 100%,31% — 5 of 16,2 of 5 — 40%,100% — 4 of 4,2.0,0,1.0,0,11,17,4,4,8,13,509,831,36,18,14,6,12,11,19,10,3,4,5,2,26,26,73,67
0,Kieran Trippier,Lewis Dunk,(4-3-3),(4-2-3-1),35%,65%,211 of 296 — 71%,84% — 462 of 553,8 of 22 — 36%,25% — 2 of 8,1 of 2 — 50%,62% — 5 of 8,2.0,0,4.0,0,17,16,6,1,13,5,400,656,11,14,9,2,15,7,9,16,1,2,4,10,25,20,71,48
0,Harry Kane,David Raya,(4-4-2),(4-3-3),61%,39%,531 of 636 — 83%,77% — 307 of 399,7 of 22 — 32%,36% — 4 of 11,1 of 4 — 25%,85% — 6 of 7,1.0,0,1.0,0,11,9,8,2,28,11,730,513,12,11,1,4,26,18,14,23,1,1,8,8,23,19,54,65
0,Rúben Neves,Jordan Pickford,(4-4-2),(4-1-4-1),52%,48%,375 of 481 — 78%,73% — 320 of 436,5 of 13 — 38%,21% — 4 of 19,3 of 4 — 75%,80% — 4 of 5,5.0,0,1.0,0,18,10,1,7,9,28,598,536,12,19,5,12,15,25,29,5,1,0,10,8,10,23,57,87
0,Jordan Henderson,John McGinn,(4-3-3),(4-2-3-1),66%,34%,465 of 581 — 80%,64% — 193 of 301,5 of 10 — 50%,60% — 3 of 5,2 of 3 — 66%,80% — 4 of 5,3.0,0,5.0,0,16,13,9,3,41,11,693,442,18,29,8,15,13,7,22,44,4,1,3,8,22,18,76,81
